J010847.30+001155.2 0397 391 51794 0.0508  57.1 56.7  24 15.91 2 0
J010850.35+001229.3 0397 394 51794 0.0507  57.1 56.7  24 17.26 1 0
J010922.00+142032.3 0422 146 51811 0.0384 126.8 96.4 245 13.58 1 1
J010928.81+142147.3 0422 148 51811 0.0375 126.8 96.4 245 14.15 1 1
J010941.83-004425.6 1082 062 52523 0.0889   9.7 16.0  71 16.67 2 2
J010942.19-004417.6 0397 259 51794 0.0887   9.7 16.0  71 16.53 2 2
J010959.03+135815.2 0422 095 51811 0.0564  67.3 73.6 539 16.60 1 0
J011003.16+135841.2 0422 096 51811 0.0583  67.3 73.6 539 14.50 2 0
J011014.12+002157.3 0694 550 52209 0.0451  88.2 77.9  59 16.08 2 0
J011017.14+002041.6 0397 465 51794 0.0449  88.2 77.9  59 14.97 2 0
J011129.70+153353.7 0422 536 51811 0.0600  30.9 35.8 433 16.11 2 1
J011131.69+153345.6 0423 340 51821 0.0615  30.9 35.8 433 17.04 2 1
J011202.71-001549.4 0397 108 51794 0.0433  73.0 62.2 270 15.63 2 0
J011204.62-001442.4 0397 111 51794 0.0442  73.0 62.2 270 14.86 1 0
J011544.85+001400.0 0695 514 52202 0.0445  45.0 39.4 394 15.77 1 0
J011545.23+001444.6 1080 394 52614 0.0431  45.0 39.4 394 16.43 2 0
J011832.49-001030.0 1499 031 53001 0.0776  60.5 89.1  38 17.86 2 0
J011832.93+010930.8 0695 575 52202 0.0442  45.8 39.9 228 14.56 1 0
J011834.47-000937.3 0696 307 52209 0.0778  60.5 89.1  38 15.71 2 0
J011835.90+010919.9 1080 407 52614 0.0450  45.8 39.9 228 16.79 0 0
J012129.27+003732.6 1551 344 53327 0.0439   4.0  3.5  44 14.70 5 2
J012129.32+003728.7 0399 350 51817 0.0437   4.0  3.5  44 16.93 2 2
J012154.53-100815.8 0660 022 52177 0.1046  16.4 31.4   4 16.85 0 1
J012155.59-100811.6 0661 225 52163 0.1046  16.4 31.4   4 16.81 1 1
J012612.09-000126.9 0697 312 52226 0.1048   4.2  8.0 234 17.44 2 2
J012612.34-000128.7 1501 172 53740 0.1039   4.2  8.0 234 17.65 0 2
J013705.74-090937.3 0663 399 52145 0.0691  43.7 58.3 239 16.69 1 1
J013706.95-090857.5 0662 558 52147 0.0699  43.7 58.3 239 15.31 0 1
J013848.33-000221.1 0401 280 51788 0.0742  34.6 48.9 129 17.42 2 0
J013848.45-000255.7 0698 171 52203 0.0738  34.6 48.9 129 17.87 0 0
J014402.61-000708.9 0401 113 51788 0.0794  55.0 82.5   3 17.40 0 0
J014405.76-000737.3 0401 108 51788 0.0794  55.0 82.5   3 17.54 2 0
J015232.94-005745.9 1504 093 52940 0.0598   2.3  2.7  69 17.74 2 1
J015233.06-005744.3 0402 138 51793 0.0600   2.3  2.7  69 16.27 2 1
J015235.35-083236.6 0665 463 52168 0.0517  58.5 58.9 157 16.49 1 0
J015235.99-083138.9 0665 466 52168 0.0511  58.5 58.9 157 14.87 1 0
J015303.50+010123.0 0402 580 51793 0.0595  77.0 88.5 198 16.35 1 0
J015308.29+010150.7 0700 444 52199 0.0602  77.0 88.5 198 15.54 2 0
J015343.54+001111.0 1075 354 52933 0.0806  10.2 15.7 418 15.87 2 2
J015343.83+001101.8 0402 637 51793 0.0821  10.2 15.7 418 15.96 2 2
J015806.03-093258.2 0665 030 52168 0.0777  38.8 57.1 393 17.07 1 1
J015807.61-093328.9 0666 221 52149 0.0791  38.8 57.1 393 17.20 2 1
J015816.15-003121.1 0701 233 52179 0.0802   3.8  5.8  18 16.71 2 2
J015816.36-003118.9 0700 074 52199 0.0803   3.8  5.8  18 16.58 2 2
J020101.49+000232.6 0701 480 52179 0.0788  41.0 61.5 197 17.11 2 0
J020102.09+000152.6 0404 360 51812 0.0795  41.0 61.5 197 17.01 2 0
J020120.32+004821.1 0701 460 52179 0.1377  11.6 28.2 106 17.63 0 1
J020120.43+004832.6 1555 542 53287 0.1373  11.6 28.2 106 19.50 2 1
J020320.97+004006.3 0404 337 51877 0.0759   1.5  2.1  14 15.75 2 2
J020321.03+004005.1 0701 548 52179 0.0760   1.5  2.1  14 18.24 1 2
J020442.35-001749.4 0404 193 51877 0.1118   5.7 11.7 102 17.20 2 2
J020442.65-001746.0 1074 238 52937 0.1114   5.7 11.7 102 17.96 2 2
J020733.93+133350.4 0428 400 51883 0.1318   2.1  4.8  21 16.35 1 2
J020734.06+133351.0 0427 035 51900 0.1319   2.1  4.8  21 19.39 1 2
J020838.64+000742.1 0702 485 52178 0.0670   3.7  4.8  57 19.40 2 2
J020838.89+000742.6 0404 636 51812 0.0672   3.7  4.8  57 15.01 1 2
J020918.15-005217.7 0702 140 52178 0.1198  13.9 30.1  90 17.72 2 1
J020918.86-005226.5 0404 057 51812 0.1202  13.9 30.1  90 17.26 2 1
J021242.19+002906.0 0405 467 51816 0.1491   2.5  6.4 298 17.22 2 2
J021242.27+002903.8 1507 421 53763 0.1502   2.5  6.4 298 17.48 2 2
J021510.90+005440.9 1557 531 53301 0.1219  24.7 54.1   4 19.09 2 0
J021511.69+005419.3 0405 533 51816 0.1219  24.7 54.1   4 17.04 1 0
J022245.48+010202.4 0704 411 52205 0.0996  28.3 52.0  87 16.35 2 2
J022245.84+010230.1 2636 423 54082 0.0999  28.3 52.0  87 16.49 1 2
J022301.55-081852.5 0454 348 51908 0.0546  78.6 83.4  15 15.42 0 0
J022304.33-081959.2 0454 357 51908 0.0547  78.6 83.4  15 15.94 1 0
J022531.29-082508.7 0454 480 51908 0.0549  87.0 92.4  80 15.60 0 1
J022536.71-082539.5 0454 474 51908 0.0546  87.0 92.4  80 17.11 2 1
J022554.47+011205.3 2636 581 54082 0.0741  66.4 93.5 335 16.42 2 0
J022557.12+011112.1 2636 590 54082 0.0729  66.4 93.5 335 15.47 2 0
J023148.26-010925.2 0407 086 51820 0.0538  72.9 76.8  89 14.88 1 0
J023149.26+011539.9 0407 445 51820 0.0221 138.1 61.5  16 14.12 2 0
J023150.81-010823.1 0407 082 51820 0.0541  72.9 76.8  89 16.72 2 0
J023157.77+011447.4 0407 526 51820 0.0220 138.1 61.5  16 13.20 2 0
J023211.78+001326.6 0407 513 51820 0.0540  71.2 74.9 438 16.06 2 0
J023211.84+001215.4 0407 517 51820 0.0556  71.2 74.9 438 15.98 1 0
J023324.60+001245.0 0407 594 51820 0.0538  40.4 42.3  66 16.73 2 0
J023327.26+001238.4 0408 351 51821 0.0541  40.4 42.3  66 14.50 1 0
J023411.42-002736.9 0407 066 51820 0.1115  39.8 80.7   3 17.15 2 0
J023414.08-002736.3 0408 315 51821 0.1115  39.8 80.7   3 17.37 2 0
J024035.65-083249.6 0455 074 51909 0.0375   1.7  1.3  69 14.30 1 1
J024037.96-083200.1 0455 072 51909 0.0387  60.5 45.0 337 13.82 1 1
J024531.46-011525.7 1561 267 53032 0.1144  14.2 29.7 256 18.71 2 1
J024532.13-011515.7 1069 243 52590 0.1153  14.2 29.7 256 17.12 1 1
J025014.56+000539.7 0409 551 51871 0.0282  35.4 20.0  43 15.66 2 1
J025016.86+000531.1 0410 317 51816 0.0280  35.4 20.0  43 13.89 1 1
J025445.27+010259.5 0410 453 51816 0.1366   9.2 22.1   3 17.52 0 1
J025445.36+010308.5 1562 460 53052 0.1366   9.2 22.1   3 17.98 2 1
J025855.30-064327.9 0458 334 51929 0.0295 148.9 87.8  15 15.35 1 0
J025900.15-064537.8 0457 606 51901 0.0294 148.9 87.8  15 14.94 0 0
J030526.94+005145.0 0411 614 51817 0.1178   3.1  6.7 104 17.43 1 2
J030527.11+005147.0 0710 333 52203 0.1182   3.1  6.7 104 16.89 2 2
J031142.22+000853.4 0412 517 51931 0.0369 120.9 88.6 244 16.55 2 0
J031149.89+000930.4 0412 518 51931 0.0378 120.9 88.6 244 14.49 1 0
J031518.96-004038.1 0413 293 51821 0.1162  26.7 56.4  58 15.75 0 1
J031520.60-004048.6 0412 029 52258 0.1164  26.7 56.4  58 17.49 2 1
J031710.96+000634.3 0413 232 51929 0.1159  31.4 65.8 332 16.35 2 2
J031712.87+000647.0 0711 500 52202 0.1147  31.4 65.8 332 16.82 1 2
J031722.06+004801.8 0809 376 52647 0.1572   2.9  7.8 270 19.25 0 2
J031722.24+004800.9 0413 418 51929 0.1562   2.9  7.8 270 17.18 0 2
J031734.35-001551.5 1515 184 52932 0.1417   5.5 13.7  31 17.58 2 2
J031734.63-001548.0 1065 194 52586 0.1418   5.5 13.7  31 18.23 1 2
J031910.25+005852.6 0413 452 51929 0.0374  97.5 73.0 107 15.22 1 2
J031913.09+005724.9 0413 449 51929 0.0377  97.5 73.0 107 15.47 2 2
J032015.52+412355.1 1665 177 52976 0.0224 121.3 58.0 373 13.53 2 0
J032020.97+412225.5 1665 142 52976 0.0237 121.3 58.0 373 14.76 1 0
J032033.21-002024.0 0711 073 52202 0.0383   7.2  5.4 125 14.20 1 2
J032033.65-002021.2 0413 105 51929 0.0378   7.2  5.4 125 18.49 1 2
J032216.83+010338.5 1565 608 53002 0.2145  19.3 66.9 182 19.52 2 0
J032218.08+010334.1 0413 607 51929 0.2138  19.3 66.9 182 17.94 0 0
J032224.28+421721.7 1665 579 52976 0.0510  77.3 77.0 152 15.63 2 0
J032227.88+421626.4 1666 575 52991 0.0516  77.3 77.0 152 15.97 0 0
J032259.32+002141.1 0413 591 51929 0.0521  93.0 94.4  59 16.90 2 0
J032305.28+002115.4 0413 635 51929 0.0523  93.0 94.4  59 14.88 1 0
J032345.63+000026.8 0414 371 51901 0.0361  83.8 60.2 121 15.14 0 0
J032346.35+000149.9 0414 415 51901 0.0357  83.8 60.2 121 14.49 0 0
J032512.84+003711.6 0414 400 51901 0.1502  22.8 59.7 508 17.04 1 1
J032513.30+003733.3 0712 489 52199 0.1483  22.8 59.7 508 17.92 0 1
J032658.52-010301.7 0805 181 52586 0.1346  37.4 89.2  46 18.15 1 0
J032700.94-010252.9 0414 189 51901 0.1344  37.4 89.2  46 17.62 2 0
J033006.28+003657.5 0415 384 51879 0.0497  33.2 32.2  45 15.62 1 2
J033007.12+003626.9 0713 384 52178 0.0499  33.2 32.2  45 17.92 1 2
J033213.21+001546.6 0414 608 51901 0.0861   3.5  5.7 188 16.79 1 2
J033213.36+001549.4 0805 608 52586 0.0867   3.5  5.7 188 18.22 1 2
J033406.11+010540.0 0713 523 52178 0.0478  73.8 69.0  40 19.56 2 2
J033410.54+010612.1 0415 444 51810 0.0477  73.8 69.0  40 15.56 1 2
J040342.50-055705.2 0464 008 51908 0.1335  40.3 95.5  16 17.27 2 0
J040345.17-055701.1 0465 291 51910 0.1334  40.3 95.5  16 17.11 2 0
J073140.36+392552.9 1733 568 53047 0.1107  43.2 87.2 103 17.34 2 0
J073142.37+392623.8 1734 129 53034 0.1103  43.2 87.2 103 17.11 0 0
J073346.19+423735.9 1865 009 53312 0.0871  26.4 43.0   8 16.27 2 0
J073347.59+423751.9 1735 352 53035 0.0872  26.4 43.0   8 17.23 1 0
J073423.82+314628.2 0541 255 51959 0.0625  65.1 76.0 589 15.91 1 0
J073426.45+314536.4 0541 249 51959 0.0604  65.1 76.0 589 14.76 1 0
J073811.17+280740.8 0888 487 52339 0.0794  61.8 92.7 481 17.15 0 0
J073813.15+280646.5 0888 500 52339 0.0812  61.8 92.7 481 17.13 2 0
J073905.83+442410.4 1736 354 53052 0.1341   5.2 12.3 102 16.72 1 2
J073906.17+442410.0 1866 034 53314 0.1345   5.2 12.3 102 17.36 1 2
J074010.76+491835.7 1868 247 53318 0.0216 113.2 49.4  29 14.50 1 0
J074014.63+491658.6 1868 255 53318 0.0215 113.2 49.4  29 14.70 5 0
J074535.73+335746.7 0542 041 51993 0.0625  59.1 71.2 399 15.23 2 0
J074537.24+335652.0 0542 058 51993 0.0611  59.1 71.2 399 16.55 1 0
J074747.14+170408.7 1920 241 53314 0.0994   9.7 17.9 109 16.41 1 2
J074747.52+170416.6 1921 345 53317 0.0998   9.7 17.9 109 16.16 2 2
J074939.00+425801.4 0434 470 51885 0.0307 144.3 88.7  98 14.36 1 0
J074948.62+425801.0 0434 490 51885 0.0311 144.3 88.7  98 15.95 0 0
J075029.71+444931.0 1736 623 53052 0.0487  59.8 57.1   5 17.74 2 0
J075031.11+445027.0 1736 630 53052 0.0487  59.8 57.1   5 15.73 1 0
J075133.82+425457.4 0434 509 51885 0.0321 131.8 84.5  18 15.47 2 0
J075135.63+425248.4 0434 513 51885 0.0320 131.8 84.5  18 13.99 1 0
J075234.30+314537.6 0890 171 52583 0.0588  76.5 87.0  33 16.48 2 0
J075234.43+314421.1 0890 178 52583 0.0589  76.5 87.0  33 16.17 2 0
J075321.86+361734.4 0543 032 52017 0.0460  68.0 61.1  69 15.64 2 2
J075322.76+361627.8 0543 026 52017 0.0457  68.0 61.1  69 14.72 1 2
J075322.80+243302.5 0928 007 52578 0.0615   4.8  5.7 171 15.86 2 2
J075323.10+243300.6 1204 323 52669 0.0609   4.8  5.7 171 15.99 1 2
J075421.71+314635.5 0890 117 52583 0.0616  72.4 86.0  95 16.00 1 0
J075424.56+314733.9 0890 120 52583 0.0612  72.4 86.0  95 15.69 1 0
J075625.09+270045.2 0859 129 52317 0.0218  55.9 24.1 148 13.73 2 0
J075628.36+270112.0 0858 627 52316 0.0213  55.9 24.1 148 17.57 2 0
J075629.67+113429.4 2418 343 53794 0.0701   9.1 12.2  19 16.77 1 2
J075629.77+113438.4 2265 209 53674 0.0701   9.1 12.2  19 17.26 2 2
J075640.36+445211.3 0436 474 51883 0.0501  69.0 67.6  65 14.64 1 2
J075643.72+445124.2 0436 493 51883 0.0499  69.0 67.6  65 15.12 0 2
J075925.27+375216.0 0544 082 52201 0.0408 123.1 98.6  74 16.16 2 0
J075931.83+375252.2 0758 334 52253 0.0422  28.2 22.6 488 16.88 0 2
J075932.30+375319.5 0544 099 52201 0.0405  28.2 22.6 488 16.90 2 2
J075943.29+182803.8 1922 205 53315 0.0378  89.8 67.4 330 16.82 1 0
J075945.44+182640.0 1923 239 53319 0.0390  89.8 67.4 330 15.50 2 0
J075958.51+290208.5 0859 535 52317 0.0587  63.8 72.4 110 16.03 0 0
J080002.59+290150.7 0860 251 52319 0.0591  63.8 72.4 110 15.73 2 0
J080014.30+264152.8 0929 141 52581 0.0280  82.9 46.6  50 14.99 1 0
J080019.77+264205.2 0929 146 52581 0.0278  82.9 46.6  50 14.02 1 0
J080035.41+302406.3 1061 083 52641 0.0457  70.8 63.6  38 16.10 2 2
J080040.13+302404.7 1061 087 52641 0.0458  70.8 63.6  38 15.24 2 2
J080053.16+102924.6 2419 372 54139 0.0666  49.4 63.3  87 14.70 5 0
J080053.23+102835.3 2418 165 53794 0.0669  49.4 63.3  87 16.31 1 0
J080132.31+420008.4 0437 088 51869 0.0316 154.6 97.6  51 14.05 2 0
J080142.59+420019.5 0437 100 51869 0.0318 154.6 97.6  51 15.94 0 0
J080431.30+083920.1 2419 050 54139 0.0469 105.0 95.7 129 15.81 0 0
J080437.80+083841.0 2419 044 54139 0.0464 105.0 95.7 129 17.17 2 0
J080523.29+281815.8 0929 570 52581 0.1284   2.4  5.6  55 15.99 0 2
J080523.40+281814.1 0930 285 52618 0.1286   2.4  5.6  55 18.18 0 2
J080529.88+241004.4 1265 144 52705 0.0595  78.1 89.8  58 15.57 1 0
J080535.00+240950.3 1265 158 52705 0.0597  78.1 89.8  58 15.38 0 0
J080659.13+195106.0 1922 636 53315 0.0387 112.3 86.6  62 14.66 1 0
J080706.34+195136.0 1922 626 53315 0.0390 112.3 86.6  62 16.55 2 0
J080712.30+145906.7 2267 222 53713 0.0292 139.1 81.4  78 14.52 1 0
J080716.59+145703.3 2268 417 53682 0.0295 139.1 81.4  78 13.71 2 0
J080718.57+095056.4 2421 318 54153 0.0662  44.4 57.0 229 14.70 5 0
J080719.87+095136.2 2419 581 54139 0.0670  44.4 57.0 229 17.78 2 0
J080825.91+072241.8 2570 044 54081 0.1003  49.9 92.7 143 16.42 1 0
J080829.23+072238.6 1756 331 53080 0.1008  49.9 92.7 143 17.47 2 0
J080846.80+490513.6 0440 231 51885 0.0925  55.9 95.4 211 16.54 1 0
J080846.87+490417.7 0440 225 51885 0.0917  55.9 95.4 211 17.17 2 0
J081033.57+052101.9 1295 081 52934 0.0270 127.1 68.9 221 16.15 2 0
J081034.10+052308.8 1295 100 52934 0.0277 127.1 68.9 221 14.90 1 0
J081128.08+433818.0 0547 306 52207 0.1430  27.0 67.8  61 16.31 2 0
J081129.03+433841.0 0439 050 51877 0.1428  27.0 67.8  61 17.81 1 0
J081144.03+143048.4 2270 241 53714 0.0563  19.0 21.1 278 16.17 2 0
J081144.48+143030.6 2268 584 53682 0.0573  19.0 21.1 278 17.23 2 0
J081151.84+302027.2 0861 088 52318 0.0764  55.5 80.3 352 17.12 2 0
J081154.91+301956.3 0930 445 52618 0.0751  55.5 80.3 352 16.67 2 0
J081250.57+575517.5 1872 405 53386 0.0269 179.4 96.8  96 14.06 1 0
J081258.33+575301.1 1872 452 53386 0.0272 179.4 96.8  96 14.60 2 0
J081301.96+194620.4 2082 325 53358 0.0677  68.1 88.2   1 16.97 2 0
J081303.17+194726.0 2082 331 53358 0.0677  68.1 88.2   1 16.73 2 0
J081354.75+094110.2 2421 168 54153 0.0502  83.7 82.1 409 16.51 2 0
J081355.78+094232.4 2421 170 54153 0.0516  83.7 82.1 409 16.97 2 0
J081510.00+480450.3 0440 092 51885 0.0547  93.3 99.2 128 15.48 1 0
J081511.41+480319.4 0440 096 51885 0.0542  93.3 99.2 128 15.12 2 0
J081538.67+581748.7 1873 397 54437 0.0266 127.0 69.0 140 13.69 2 0
J081544.84+581915.6 1873 391 54437 0.0271 127.0 69.0 140 13.05 2 0
J081552.39+203008.9 1925 484 53327 0.0438 103.5 89.8  81 15.17 2 0
J081559.18+202950.9 1925 481 53327 0.0441 103.5 89.8  81 15.22 2 0
J081622.51+161227.7 2272 331 53713 0.1723   2.5  7.3 109 17.32 1 2
J081622.52+161230.2 2269 133 53711 0.1727   2.5  7.3 109 18.66 2 2
J081711.20+421421.4 0546 038 52205 0.0651  62.2 77.8   8 17.37 2 0
J081713.59+421512.3 0760 389 52264 0.0651  62.2 77.8   8 16.06 1 0
J081727.26+215220.7 1926 241 53317 0.1116  45.8 93.1  66 16.57 2 0
J081729.72+215248.0 1927 342 53321 0.1118  45.8 93.1  66 17.58 2 0
J081801.07+115240.5 2422 292 54096 0.1101  28.6 57.3 103 16.84 1 2
J081802.71+115225.8 2420 034 54086 0.1098  28.6 57.3 103 16.10 1 2
J081827.89+094109.5 2421 033 54153 0.0803  14.4 21.9  36 16.86 1 2
J081828.83+094106.0 2571 432 54055 0.0804  14.4 21.9  36 17.44 2 2
J082016.67+465221.6 0441 134 51868 0.0529  59.7 61.6 161 15.59 2 0
J082018.01+465125.3 0441 139 51868 0.0524  59.7 61.6 161 16.91 0 0
J082046.07+163844.8 2271 204 53726 0.0443  60.1 51.7 188 14.13 2 2
J082049.86+163904.2 2269 620 53711 0.0437  60.1 51.7 188 15.50 2 2
J082052.40+213309.4 1926 083 53317 0.1045  37.7 72.3 133 17.83 2 0
J082053.11+213345.5 1927 423 53321 0.1050  37.7 72.3 133 17.68 2 0
J082117.70+144620.9 2272 185 53713 0.0651  28.1 35.8 405 14.70 5 0
J082118.33+144647.3 2270 603 53714 0.0665  28.1 35.8 405 15.28 1 0
J082119.07+284722.8 1207 214 52672 0.0773  60.3 88.1  53 16.98 2 0
J082120.03+284624.3 1207 137 52672 0.0771  60.3 88.1  53 16.85 2 0
J082307.12+215253.0 1926 049 53317 0.0923  30.2 51.9   5 16.52 2 0
J082308.50+215315.0 1927 484 53321 0.0923  30.2 51.9   5 17.67 2 0
J082321.67+042220.9 1185 468 52642 0.0311 142.8 88.7  69 13.14 1 0
J082329.88+042333.0 1185 473 52642 0.0308 142.8 88.7  69 15.40 0 0
J082601.78+080809.7 1758 473 53084 0.0650  69.9 86.4 197 17.01 2 0
J082604.95+080900.9 1758 471 53084 0.0643  69.9 86.4 197 15.57 2 0
J082729.33+453046.6 0548 524 51986 0.0454  73.6 65.7 220 15.33 1 0
J082730.19+452934.1 0548 539 51986 0.0462  73.6 65.7 220 16.89 2 0
J082752.27+191405.8 2273 549 53709 0.0991  52.5 96.0 179 17.06 0 0
J082754.96+191332.3 2275 360 53709 0.0998  52.5 96.0 179 14.70 5 0
J082835.29+220228.0 1927 616 53321 0.1848  14.0 43.4 375 17.13 2 2
J082836.17+220223.1 1929 316 53349 0.1863  14.0 43.4 375 17.61 0 2
J082846.95+122724.1 2425 127 54139 0.0673  68.3 87.0 250 15.34 2 0
J082847.93+122832.0 2424 406 54448 0.0677  69.5 90.1 114 16.52 1 0
J082851.50+122726.8 2425 129 54139 0.0664  68.3 87.0 250 15.90 1 0
J082905.26+270454.3 1267 015 52932 0.0949  12.3 21.6 258 17.43 1 1
J082906.08+270455.2 1586 422 52945 0.0940  12.3 21.6 258 16.53 1 1
J082932.99+295851.2 1207 629 52672 0.0653  69.5 87.5  78 16.06 2 0
J082937.41+295911.9 1207 626 52672 0.0656  69.5 87.5  78 15.38 1 0
J083138.23+510643.5 0442 635 51882 0.0500  12.1 11.9  63 14.89 1 2
J083138.98+510639.2 0445 343 51873 0.0502  12.1 11.9  63 16.93 2 2
J083157.65+191241.5 2273 622 53709 0.0372  55.8 41.2 102 14.37 2 2
J083200.51+191205.9 2275 472 53709 0.0375  55.8 41.2 102 17.17 0 2
J083224.37+331122.5 0933 296 52642 0.0563  71.9 77.8 153 14.84 1 2
J083228.00+331209.3 0932 566 52620 0.0558  71.9 77.8 153 15.43 1 2
J083316.74+231712.6 1929 474 53349 0.0857  19.7 31.8 145 16.80 1 0
J083317.19+231731.1 1928 043 53327 0.0862  19.7 31.8 145 16.11 1 0
J083323.08+353221.1 1197 514 52668 0.0645  60.9 75.3  54 16.35 1 0
J083323.22+353322.0 1197 510 52668 0.0643  60.9 75.3  54 16.81 2 0
J083418.64+252846.5 1928 566 53327 0.0850  38.4 61.3   8 17.65 2 0
J083420.74+252908.7 1930 318 53347 0.0850  38.4 61.3   8 14.70 5 0
J083532.50+543044.6 0446 386 51899 0.0320 125.2 80.1 233 15.46 2 0
